epoch,train/box_loss,train/obj_loss,train/cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.12339,0.016952,0.022092,0.00057077,0.049107,0.000488,0.00010368,0.11696,0.01183,0.017059,0.00054,0.00054,0.09514
1,0.11881,0.01313,0.013501,0.0030443,0.0089286,0.00046498,0.000107,0.11631,0.0098932,0.011227,0.0010898,0.0010898,0.09019
2,0.11798,0.012086,0.0090019,0.0012918,0.013393,0.00032889,7.1723e-05,0.11509,0.009161,0.0076905,0.0016385,0.0016385,0.085239
3,0.11531,0.011912,0.0059398,0.001121,0.15179,0.00050231,0.00010706,0.10988,0.0092722,0.0048698,0.0021856,0.0021856,0.080286
4,0.10541,0.012581,0.0034301,0.047074,0.080357,0.016392,0.0030627,0.099188,0.0096221,0.0021503,0.0027303,0.0027303,0.07533
5,0.09412,0.012468,0.0017509,0.12604,0.16518,0.052439,0.0091909,0.098047,0.0079536,0.0012361,0.0032718,0.0032718,0.070372
6,0.085912,0.011627,0.0010667,0.22659,0.15172,0.09818,0.017759,0.081967,0.0087972,0.00064245,0.0038094,0.0038094,0.065409
7,0.080351,0.010903,0.00083437,0.27394,0.16507,0.10495,0.025114,0.09108,0.0079072,0.0011391,0.0043424,0.0043424,0.060442
8,0.078627,0.010477,0.00074654,0.4647,0.15625,0.13584,0.034983,0.089703,0.0079873,0.0012262,0.0048702,0.0048702,0.05547
9,0.083925,0.01065,0.00088486,0.24078,0.19196,0.13291,0.030525,0.084771,0.008484,0.00090248,0.0053919,0.0053919,0.050492
10,0.080263,0.010383,0.00079611,0.33319,0.27679,0.20431,0.053069,0.078374,0.0080131,0.00078965,0.005907,0.005907,0.045507
11,0.076578,0.010436,0.00073704,0.48296,0.26689,0.22502,0.054656,0.076399,0.0085056,0.00071531,0.0064147,0.0064147,0.040515
12,0.074595,0.0099573,0.00070745,0.42081,0.35714,0.30409,0.095428,0.072677,0.0076883,0.00065107,0.0069144,0.0069144,0.035514
13,0.072792,0.010136,0.00068262,0.42296,0.33036,0.28615,0.078597,0.070786,0.0075311,0.00061692,0.0074054,0.0074054,0.030505
14,0.07381,0.0097115,0.0006746,0.17359,0.092844,0.049514,0.010001,0.095943,0.0080752,0.0013248,0.0078871,0.0078871,0.025487
15,0.073755,0.0096744,0.00060935,0.25952,0.20027,0.12907,0.041551,0.08453,0.0073973,0.00091296,0.0083589,0.0083589,0.020459
16,0.072001,0.0093258,0.00057439,0.42921,0.25893,0.22968,0.074637,0.075636,0.0072637,0.00061411,0.0088201,0.0088201,0.01542
17,0.070708,0.0094481,0.00054171,0.40041,0.28571,0.19331,0.047525,0.081668,0.0068676,0.00071533,0.0092702,0.0092702,0.01037
18,0.068223,0.0091773,0.00048164,0.23612,0.22321,0.11028,0.032005,0.085899,0.0079895,0.00076668,0.0092995,0.0092995,0.0092995
19,0.068306,0.0089433,0.00048901,0.39749,0.27232,0.2289,0.060539,0.078438,0.0072991,0.00067466,0.0092995,0.0092995,0.0092995
20,0.066183,0.008881,0.00043866,0.41407,0.33036,0.24068,0.072917,0.072797,0.0072483,0.00045873,0.0092219,0.0092219,0.0092219
21,0.064897,0.0084582,0.00043651,0.4453,0.4193,0.36654,0.099406,0.064969,0.0062791,0.00035697,0.0091406,0.0091406,0.0091406
22,0.063936,0.0085485,0.00040718,0.57016,0.37054,0.37278,0.099882,0.074006,0.0063391,0.00049561,0.0090557,0.0090557,0.0090557
23,0.062373,0.0080712,0.00035591,0.37857,0.098214,0.071292,0.017194,0.099014,0.007523,0.0010377,0.0089673,0.0089673,0.0089673
24,0.062604,0.0081753,0.00033838,0.55725,0.30357,0.29455,0.09801,0.072217,0.0065911,0.00044816,0.0088755,0.0088755,0.0088755
25,0.061335,0.0079593,0.00034272,0.25578,0.066964,0.038481,0.010877,0.10687,0.0067631,0.0016873,0.0087804,0.0087804,0.0087804
26,0.060984,0.007921,0.00032147,0.57414,0.46429,0.43488,0.14522,0.062933,0.0056989,0.00033115,0.008682,0.008682,0.008682
27,0.060838,0.0080979,0.00030837,0.49227,0.28571,0.2613,0.076235,0.078098,0.0064268,0.00050407,0.0085805,0.0085805,0.0085805
28,0.05839,0.0076015,0.00029359,0.79653,0.52679,0.59915,0.20777,0.055528,0.0052607,0.00027682,0.0084759,0.0084759,0.0084759
29,0.057736,0.0078375,0.00028953,0.72891,0.44643,0.49995,0.16885,0.059247,0.0055346,0.00030098,0.0083684,0.0083684,0.0083684
30,0.056446,0.0077147,0.00026698,0.63261,0.3613,0.39582,0.15283,0.067012,0.0058087,0.00033867,0.0082581,0.0082581,0.0082581
31,0.056429,0.0076969,0.00027609,0.69216,0.48182,0.52937,0.19159,0.057793,0.0053521,0.00027771,0.008145,0.008145,0.008145
32,0.057266,0.0075765,0.00026278,0.67802,0.62054,0.61932,0.21149,0.053789,0.0051568,0.00032494,0.0080294,0.0080294,0.0080294
33,0.055504,0.0073989,0.00025649,0.70091,0.55804,0.57262,0.20962,0.05714,0.0051006,0.00028977,0.0079112,0.0079112,0.0079112
34,0.055255,0.0074558,0.00026067,0.65451,0.40595,0.43428,0.16054,0.064368,0.0056853,0.0003603,0.0077907,0.0077907,0.0077907
35,0.054858,0.0072914,0.00025326,0.68875,0.60268,0.60135,0.22289,0.054533,0.0050978,0.00024191,0.0076679,0.0076679,0.0076679
36,0.054198,0.0073676,0.00024613,0.62976,0.51786,0.51953,0.19364,0.057807,0.0054285,0.00028311,0.007543,0.007543,0.007543
37,0.054381,0.0071024,0.00024383,0.70739,0.54018,0.54431,0.22096,0.055413,0.0052944,0.00027312,0.007416,0.007416,0.007416
38,0.054588,0.0072332,0.00024481,0.66572,0.50893,0.53357,0.19318,0.059704,0.0051143,0.00025867,0.0072872,0.0072872,0.0072872
39,0.053453,0.0070647,0.00022294,0.66132,0.58482,0.57122,0.22379,0.055717,0.0048964,0.00021343,0.0071566,0.0071566,0.0071566
40,0.053425,0.007132,0.00022247,0.6601,0.60689,0.58697,0.23818,0.055049,0.005052,0.00022274,0.0070243,0.0070243,0.0070243
41,0.05316,0.0069702,0.0002167,0.76584,0.62946,0.64425,0.25657,0.051309,0.004945,0.00022115,0.0068906,0.0068906,0.0068906
42,0.051652,0.0069524,0.00021463,0.66656,0.41051,0.43091,0.16311,0.064965,0.0064126,0.00040082,0.0067555,0.0067555,0.0067555
43,0.052221,0.0070745,0.00020725,0.73209,0.59821,0.62118,0.25672,0.053153,0.0049348,0.00020386,0.0066191,0.0066191,0.0066191
44,0.050647,0.0069098,0.00019893,0.7643,0.64732,0.64668,0.26463,0.051318,0.0048634,0.00018059,0.0064816,0.0064816,0.0064816
45,0.051149,0.0067239,0.00019049,0.70316,0.48646,0.53694,0.20198,0.057671,0.0056272,0.0002718,0.0063432,0.0063432,0.0063432
46,0.051108,0.0067219,0.00018547,0.68862,0.60268,0.5988,0.22396,0.054392,0.0049826,0.00018674,0.006204,0.006204,0.006204
47,0.050773,0.0069358,0.0001857,0.75256,0.625,0.64901,0.25509,0.050467,0.0046909,0.00021873,0.006064,0.006064,0.006064
48,0.049955,0.0067409,0.00017442,0.7378,0.64286,0.63134,0.24771,0.051891,0.0048111,0.00021903,0.0059235,0.0059235,0.0059235
49,0.049578,0.006729,0.00017504,0.68131,0.62054,0.60591,0.22323,0.052989,0.0047532,0.00017466,0.0057826,0.0057826,0.0057826
50,0.049498,0.0066442,0.0001816,0.75896,0.56228,0.60249,0.23721,0.05462,0.0049858,0.00019256,0.0056413,0.0056413,0.0056413
51,0.049597,0.0066699,0.00017823,0.70809,0.52232,0.5402,0.21677,0.056145,0.005301,0.00021373,0.0055,0.0055,0.0055
52,0.049067,0.0067089,0.00016826,0.77496,0.67857,0.68404,0.25616,0.050786,0.0046323,0.00017728,0.0053587,0.0053587,0.0053587
53,0.048745,0.006686,0.00016994,0.7675,0.63368,0.66028,0.25386,0.051124,0.0047373,0.00021531,0.0052174,0.0052174,0.0052174
54,0.048845,0.0066456,0.00016595,0.72914,0.62493,0.63385,0.26928,0.050897,0.004787,0.00018606,0.0050765,0.0050765,0.0050765
55,0.047672,0.0067266,0.00016697,0.7741,0.67411,0.67699,0.27748,0.04978,0.0046491,0.00024669,0.004936,0.004936,0.004936
56,0.047615,0.006541,0.00016042,0.7142,0.66964,0.64612,0.25599,0.050117,0.0047668,0.00014898,0.004796,0.004796,0.004796
57,0.048079,0.0065126,0.00016151,0.76998,0.66518,0.67531,0.28189,0.05051,0.0045359,0.00017904,0.0046568,0.0046568,0.0046568
58,0.046913,0.0063594,0.00015158,0.75128,0.64725,0.6421,0.25312,0.049523,0.0046349,0.00021414,0.0045184,0.0045184,0.0045184
59,0.046316,0.0065331,0.00014635,0.71678,0.67857,0.66248,0.27623,0.050399,0.004705,0.00018681,0.0043809,0.0043809,0.0043809
60,0.04787,0.0063853,0.0001487,0.78106,0.70075,0.69098,0.3011,0.048326,0.004446,0.00020199,0.0042445,0.0042445,0.0042445
61,0.046138,0.0064604,0.00014256,0.74733,0.70089,0.68372,0.28285,0.048812,0.0045538,0.00024141,0.0041094,0.0041094,0.0041094
62,0.046205,0.0061638,0.00013928,0.76835,0.69643,0.70034,0.30458,0.04775,0.0045296,0.00017823,0.0039757,0.0039757,0.0039757
63,0.046492,0.0062503,0.00013878,0.75356,0.69643,0.69414,0.2981,0.047964,0.0044659,0.00013851,0.0038434,0.0038434,0.0038434
64,0.045578,0.00628,0.0001424,0.77114,0.64732,0.66584,0.2715,0.050746,0.0046113,0.00016242,0.0037128,0.0037128,0.0037128
65,0.045995,0.0064564,0.00013444,0.74867,0.67857,0.69071,0.25483,0.052166,0.0046267,0.00014446,0.003584,0.003584,0.003584
66,0.045563,0.0063904,0.00012835,0.77546,0.67838,0.68627,0.29109,0.048239,0.0046056,0.00014908,0.003457,0.003457,0.003457
67,0.045001,0.0064424,0.00013086,0.7731,0.70089,0.69991,0.29279,0.047005,0.0045599,0.00021597,0.0033321,0.0033321,0.0033321
68,0.045263,0.0062428,0.00012546,0.70912,0.62036,0.63712,0.25159,0.050687,0.0047972,0.00014573,0.0032093,0.0032093,0.0032093
69,0.044881,0.0062141,0.000123,0.74041,0.70089,0.68858,0.29851,0.046672,0.0044988,0.0001865,0.0030888,0.0030888,0.0030888
70,0.044559,0.0061213,0.00012285,0.76616,0.68746,0.7044,0.29325,0.047482,0.0045446,0.00018157,0.0029706,0.0029706,0.0029706
71,0.04362,0.0062478,0.00011953,0.7611,0.66964,0.68633,0.29224,0.048172,0.0045051,0.00019947,0.002855,0.002855,0.002855
72,0.043613,0.0062901,0.00011568,0.77047,0.66071,0.69296,0.29957,0.047315,0.004574,0.00017023,0.0027419,0.0027419,0.0027419
73,0.044384,0.0063082,0.00011815,0.77344,0.65533,0.71569,0.29677,0.047717,0.0044748,0.00016579,0.0026316,0.0026316,0.0026316
74,0.043792,0.0061063,0.00011808,0.79756,0.66964,0.71486,0.30202,0.047216,0.004408,0.00014195,0.0025241,0.0025241,0.0025241
75,0.044218,0.0061883,0.00011153,0.73723,0.60268,0.63259,0.26999,0.051135,0.0047512,0.00013367,0.0024195,0.0024195,0.0024195
76,0.042436,0.0059998,0.00010835,0.74163,0.66964,0.70011,0.29975,0.046593,0.004471,0.00018962,0.002318,0.002318,0.002318
77,0.044086,0.0062034,0.00011213,0.76795,0.66483,0.70644,0.31432,0.046049,0.0043882,0.00020223,0.0022196,0.0022196,0.0022196
78,0.042276,0.0061251,0.00010483,0.75835,0.68649,0.69525,0.29385,0.047375,0.0044876,0.00013311,0.0021245,0.0021245,0.0021245
79,0.042862,0.0061644,0.00011103,0.75123,0.67407,0.68809,0.31122,0.046743,0.0043948,0.00012432,0.0020327,0.0020327,0.0020327
80,0.042396,0.0059508,0.00011062,0.76381,0.67857,0.70425,0.31268,0.046402,0.0045039,0.0001218,0.0019443,0.0019443,0.0019443
81,0.042726,0.0059613,0.00010376,0.73273,0.67411,0.70183,0.30224,0.04754,0.0044083,0.00013022,0.0018594,0.0018594,0.0018594
82,0.041728,0.0060448,9.9403e-05,0.78303,0.66071,0.69916,0.30352,0.047202,0.0044357,0.00014154,0.0017781,0.0017781,0.0017781
83,0.042221,0.0060017,0.00010224,0.73343,0.70014,0.69333,0.31895,0.045636,0.0044303,0.00015828,0.0017005,0.0017005,0.0017005
84,0.041964,0.005999,0.00010292,0.73377,0.69196,0.67613,0.29405,0.046472,0.0044483,0.00019858,0.0016267,0.0016267,0.0016267
85,0.042235,0.0060717,0.00010255,0.75879,0.67408,0.70408,0.30994,0.047411,0.0044528,0.00018998,0.0015566,0.0015566,0.0015566
86,0.042118,0.0060023,9.6939e-05,0.74284,0.69636,0.688,0.30132,0.046779,0.0045078,0.00020626,0.0014905,0.0014905,0.0014905
87,0.041435,0.005911,9.5749e-05,0.70451,0.69184,0.69139,0.31281,0.046524,0.0044384,0.00019135,0.0014283,0.0014283,0.0014283
88,0.041616,0.0058859,9.2121e-05,0.7258,0.67411,0.68151,0.28437,0.04814,0.0044269,0.00018789,0.0013701,0.0013701,0.0013701
89,0.040962,0.005975,9.4806e-05,0.74994,0.68304,0.70211,0.30641,0.046762,0.0044478,0.00021171,0.001316,0.001316,0.001316
90,0.040711,0.0060071,9.3144e-05,0.75559,0.67857,0.70962,0.31121,0.046542,0.0045001,0.00020669,0.001266,0.001266,0.001266
91,0.041794,0.0060364,9.3889e-05,0.7653,0.6696,0.70158,0.31032,0.046257,0.0044497,0.00018878,0.0012202,0.0012202,0.0012202
92,0.041718,0.0060106,9.3894e-05,0.7703,0.66071,0.69528,0.31055,0.046426,0.0044459,0.00020661,0.0011787,0.0011787,0.0011787
93,0.040706,0.0058617,9.7677e-05,0.76839,0.68304,0.68512,0.3116,0.045423,0.004476,0.00020044,0.0011414,0.0011414,0.0011414
94,0.040478,0.0060215,9.108e-05,0.70922,0.71864,0.70157,0.31045,0.04547,0.0045057,0.00020029,0.0011084,0.0011084,0.0011084
95,0.041175,0.0058474,9.0768e-05,0.77317,0.66964,0.69575,0.30214,0.046696,0.0045353,0.00019048,0.0010797,0.0010797,0.0010797
96,0.041426,0.0059239,9.234e-05,0.73109,0.6918,0.69993,0.30099,0.046155,0.0044641,0.000161,0.0010554,0.0010554,0.0010554
97,0.040165,0.0057351,8.672e-05,0.73902,0.68304,0.69521,0.30417,0.045771,0.0044739,0.00016835,0.0010355,0.0010355,0.0010355
98,0.041038,0.0060628,8.8425e-05,0.76407,0.66518,0.70824,0.31444,0.045234,0.0045004,0.00017047,0.00102,0.00102,0.00102
99,0.040337,0.0057757,8.7985e-05,0.74755,0.68741,0.71213,0.30185,0.046348,0.0044408,0.00016091,0.0010089,0.0010089,0.0010089
